"numproduit","produit","trigramme","nbchalet","nbvendus","nbrestants"
5,"decorations pour la table et pour le sapin","Absent2018TEN013,ARC003,BRO001,BRO002,BRO005,BRO008,BRO010,BRO022,BRO026,BRO027,BRO030,BRO034,BRO037,BRO038,BRO046,BRO047,BRO051,BRO058,BRO064,BRO069,BRO074,BRO089,BRO095,BRO107,CAT004,CAT015,CAT016,CAT017,CAT019,CAT021,CAT026,CAT028,CAT032,CAT035,CAT036,CAT037,CAT040,CAT041,CAT048,CHA001,CHA005,CHA008,CHA009,Désist2017et18,MUS001,MUS003,MUS004,MUS006,ROH014,ROH016,TEN013,TEN023,THO014,THO015,ZIX003,ZIX004,ZIX007",106,49,57
193,"vin chaud","ARC001,ARC002,BRO003,BRO006,BRO009,BRO012,BRO014,BRO015,BRO024,BRO025,BRO031,BRO044,BRO045,BRO053,BRO056,BRO059,BRO061,BRO062,BRO073,BRO075,BRO079,BRO094,BRO096,BRO098,BRO099,BRO100,BRO101,BRO102,BRO104,BRO105,CAT005,CAT010,CAT022,CAT024,CAT027,CAT034,CAT039,CAT042,CAT043,CAT051,cessation,changplace2019,CHA010,chgmentemplcmt,désistmt18THO002,GUT000,MUS005,ROH002,ROH016A,TEN001,TEN004,THO001,THO004,THO005,THO007,transcàsonfil,ZIX012",105,48,57
251,"gateaux de Noel","ARC001,BRO013,BRO014,BRO016,BRO018,BRO019,BRO023,BRO043,BRO073,BRO094,BRO096,BRO100,BRO101,BRO106,CAT005,CAT010,CAT011,CAT027,CAT031,CAT039,CAT043,cessationactivi,cessation2014,changplace2019,CHA002,désistmt18THO002,MEU010,POI006,ROH000,ROH001,ROH004,ROH005,ROH006,ROH008,ROH009,ROH011,ROH016A,TEN003,THO003,THO004,THO013,transcàsonfil,ZIX009",90,47,43
87,"produit secret",OFF11,OFF07,OFF08,OFF09,Désistement2015,Désistement2016,désistement2018,Grimmeisen,OFF01,OFF02,OFF03,OFF04,OFF05,OFF06,OFF13,OFF14,présenteen2018",64,47,17
201,"boules de Noel et décorations diverses","Absent2018TEN013,ARC003,BRO001,BRO002,BRO005,BRO008,BRO022,BRO030,BRO034,BRO037,BRO038,BRO047,BRO051,BRO058,BRO064,BRO069,BRO074,BRO080,BRO085,BRO107,CAT001,CAT004,CAT015,CAT016,CAT021,CAT026,CAT032,CAT035,CAT037,CAT038,CAT041,CAT048,CAT049,CHA001,CHA005,CHA008,CHA009,Désistement2016,IMPABSCAT030,MUS003,MUS006,ROH014,ROH015,ROH016,ROH017,TEN008,TEN024,THO015,ZIX002,ZIX004,ZIX006",97,45,52
123,"jus de pommes chauds ou froids","ARC001,ARC002,BRO003,BRO006,BRO009,BRO012,BRO014,BRO015,BRO024,BRO045,BRO053,BRO056,BRO059,BRO061,BRO062,BRO073,BRO075,BRO079,BRO094,BRO096,BRO098,BRO099,BRO100,BRO101,BRO102,BRO104,BRO105,CAT005,CAT010,CAT022,CAT024,CAT027,CAT031,CAT042,CAT043,CAT051,cessation,cessation2014,changplace2019,CHA006,chgmentemplcmt,désistmt18THO002,GUT000,MEU011,MUS005,POI006,ROH002,TEN001,THO001,THO004,THO005,THO007,transcàsonfil,ZIX012",99,45,54
7,"boissons sans alcool","ARC001,ARC002,BRO003,BRO006,BRO009,BRO012,BRO014,BRO015,BRO024,BRO025,BRO031,BRO044,BRO056,BRO059,BRO061,BRO073,BRO075,BRO079,BRO094,BRO096,BRO098,BRO100,BRO101,BRO102,BRO105,CAT005,CAT010,CAT022,CAT027,CAT034,CAT039,CAT042,CAT043,CAT051,changplace2019,CHA006,CHA010,chgmentemplcmt,désistmt18THO002,GUT000,MEU003,MUS005,ROH020,TEN004,THO001,THO004,THO005,transcàsonfil",89,41,48
44,"ornements de Noel","Absent2018TEN013,ARC003,BRO002,BRO005,BRO008,BRO022,BRO029,BRO030,BRO037,BRO051,BRO058,BRO074,BRO083,BRO084,CAT004,CAT015,CAT016,CAT017,CAT021,CAT026,CAT032,CAT038,CAT046,CAT048,cessation activi,cessation 2014,CHA005,CHA008,CHA009,Désistement2016,IMPABSCAT030,MUS003,MUS004,ROH015,ROH016,TEN008,TEN023,TEN024,THO015,ZIX004,",77,40,35
249,"pains d'epices","Absent2018TEN022,ARC001,BRO013,BRO016,BRO018,BRO019,BRO023,BRO033,BRO043,BRO072,BRO073,BRO094,BRO096,BRO106,CAT005,CAT011,CAT012,CAT024,CAT027,CAT043,changplace2019,CHA002,Désistement2016,MEU013,POI006,ROH000,ROH005,ROH008,ROH009,ROH011,TEN003,THO003,THO013,transcàsonfil,ZIX008,",75,40,35
136,"bougeoirs","ARC003,BRO001,BRO002,BRO022,BRO026,BRO027,BRO029,BRO036,BRO038,BRO068B,BRO072,BRO081,BRO084,BRO085,BRO089,BRO099,CAT003,CAT004,CAT006,CAT015,CAT016,CAT021,CAT023,CAT026,CAT028,CAT035,CAT036,CAT041,CAT048,CAT049,CHA008,CHA009,CHA011,Désist2019CAT019,MUS003,MUS004,ROH016,TEN024,THO015,ZIX003,ZIX007,ZIX010",81,39,42
61,"cafe","ARC001,ARC002,BRO003,BRO006,BRO014,BRO024,BRO033,BRO044,BRO045,BRO056,BRO061,BRO073,BRO075,BRO079,BRO094,BRO096,BRO098,BRO099,BRO100,BRO101,BRO102,BRO105,BRO106,CAT005,CAT012,CAT022,CAT027,CAT034,CAT042,CHA006,chgmentemplcmt,désistmt18THO002,désist2018ARC002,GUT000,MEU003,MUS005,POI005B,ROH020,TEN002,THO001,THO005,transcàsonfil",79,37,42
119,"chocolat chaud,"ARC001,BRO003,BRO006,BRO014,BRO024,BRO033,BRO045,BRO053,BRO056,BRO059,BRO061,BRO062,BRO073,BRO075,BRO079,BRO094,BRO098,BRO100,BRO101,BRO102,BRO104,BRO105,BRO106,CAT005,CAT011,CAT012,CAT022,CAT024,CAT027,CAT034,CAT042,CAT044,cessation,changplace2019,CHA006,CHA010,chgmentemplcmt,désistmt18THO002,désist2018ARC002,GUT000,MEU008,MUS005,TEN002,THO001,THO005,transcàsonfil,ZIX012,",84,37,47
160,"anges et angelots","ARC003,BRO001,BRO002,BRO005,BRO022,BRO026,BRO027,BRO029,BRO037,BRO038,BRO074,BRO077,BRO085,BRO089,BRO095,BRO099,CAT001,CAT004,CAT015,CAT016,CAT021,CAT026,CAT035,CAT038,CAT040,CAT041,CAT046,CAT048,CAT049,CHA005,CHA008,CHA009,CHA014,Désist2017et18,Désistement2016,MUS003,MUS006,ROH016,TEN023,TEN024,THO015,ZIX004",77,36,41
38,"bretzels","ARC001,BRO003,BRO009,BRO011,BRO012,BRO014,BRO015,BRO024,BRO025,BRO031,BRO044,BRO053,BRO061,BRO075,BRO079,BRO096,BRO098,BRO100,BRO102,BRO105,CAT005,CAT011,CAT022,CAT027,CAT042,CAT051,CHA006,chgmentemplcmt,désistmt18THO002,GUT000,MUS005,ROH000,ROH005,TEN004,THO001,THO007,transcàsonfil,ZIX012",70,32,38
224,"ceramiques","BRO001,BRO002,BRO026,BRO027,BRO029,BRO034,BRO036,BRO038,BRO039,BRO050,BRO058,BRO063,BRO068B,BRO080,CAT015,CAT016,CAT021,CAT026,CAT028,CAT033,CAT038,CAT048,CHA008,CHA009,CHA014,Désist2017et18,IMPABSCAT030,MUS003,ROH009,ROH014,ROH016,TEN024,THO015,ZIX001,ZIX003",67,32,35
9,"crepes traditionnelles","BRO003,BRO006,BRO009,BRO012,BRO014,BRO015,BRO023,BRO024,BRO025,BRO031,BRO045,BRO053,BRO056,BRO059,BRO061,BRO075,BRO079,BRO094,BRO098,BRO100,BRO102,BRO105,CAT005,CAT010,CAT022,CAT034,CAT042,CAT051,CHA006,CHA010,chgmentemplcmt,désistmt18THO002,GUT000,MUS005,ROH020,TEN004,THO001,THO004,THO005",71,32,39
242,"arts de la table","Absent2018TEN013,BRO001,BRO026,BRO027,BRO029,BRO036,BRO051,BRO069,BRO080,BRO084,BRO085,BRO095,BRO099,CAT003,CAT008,CAT014,CAT032,CAT033,CAT035,CHA002,CHA003,CHA008,CHA014,Désistement2016,IMPABSCAT030,THO014,ZIX007,ZIX009,ZIX013",60,31,29
34,"bougies","BRO001,BRO002,BRO005,BRO022,BRO026,BRO029,BRO036,BRO038,BRO063,BRO068A,BRO072,BRO085,BRO099,CAT004,CAT006,CAT015,CAT016,CAT023,CAT028,CAT031,CAT036,CAT041,CAT048,CHA003,CHA008,CHA009,CHA011,Désistement2016,Désist2019CAT019,IMPABSCAT030,MUS001,MUS003,ROH016,TEN014,THO015,ZIX007,ZIX010",67,31,36
4,"jus d'oranges chauds","ARC001,ARC002,BRO003,BRO006,BRO009,BRO012,BRO014,BRO015,BRO024,BRO044,BRO053,BRO056,BRO062,BRO075,BRO079,BRO094,BRO096,BRO098,BRO101,BRO102,BRO104,BRO105,CAT005,CAT022,CAT027,CAT034,CAT042,CAT051,cessation,changplace2019,CHA010,chgmentemplcmt,désistmt18THO002,GUT000,ROH016A,TEN004,THO001,THO005",65,28,37
217,"beignets","ARC001,BRO003,BRO006,BRO009,BRO011,BRO012,BRO014,BRO015,BRO023,BRO024,BRO025,BRO044,BRO056,BRO079,BRO098,BRO100,BRO105,CAT005,CAT010,CAT022,CAT027,CAT039,CAT042,CAT051,CHA010,chgmentemplcmt,désistmt18THO002,GUT000,TEN004,THO001,THO004,transcàsonfil",60,28,58"
